user_id,churn_date,churn_day_since_install,last_level_reached,reason,moves_in_last_session,booster_used_last_session,ad_watch_last_session,time_spent_last_session_min
U100000,2025-07-29,11,6,used_booster_then_quit,12,False,15,13.21
U100001,2025-07-01,52,0,other,0,False,0,0.0
U100002,2025-08-21,83,6,failed_level_twice,22,False,12,12.74
U100003,2025-08-18,17,0,after_10_moves_no_progress,16,False,20,26.02
U100004,2025-08-03,31,1,session_timeout,28,False,4,8.87
U100005,2025-08-22,2,1,other,15,False,11,14.58
U100006,2025-07-22,31,5,used_booster_then_quit,22,False,6,11.95
U100007,2025-08-20,7,1,used_booster_then_quit,23,False,15,21.27
U100008,2025-06-26,3,2,after_10_moves_no_progress,21,False,30,49.95
U100009,2025-08-26,0,1,failed_level_twice,13,False,31,39.26
U100010,2025-08-25,1,2,used_booster_then_quit,9,False,12,24.07
U100011,2025-08-09,61,1,other,15,False,6,7.76
U100012,2025-08-23,8,2,after_10_moves_no_progress,20,False,7,17.47
U100013,2025-08-26,16,1,other,27,True,13,18.22
U100014,2025-06-19,24,2,failed_level_twice,13,False,6,15.84
U100015,2025-08-23,40,0,used_booster_then_quit,0,False,0,0.0
U100016,2025-05-21,12,0,ads_fatigue,0,False,0,0.0
U100017,2025-08-10,1,1,session_timeout,21,False,10,22.71
U100018,2025-05-26,5,2,failed_level_twice,21,False,8,23.29
U100019,2025-05-17,8,1,after_10_moves_no_progress,13,False,27,36.38
U100020,2025-08-10,53,2,after_10_moves_no_progress,10,False,29,33.28
U100021,2025-08-27,49,9,other,19,False,30,42.88
U100022,2025-08-19,8,0,used_booster_then_quit,0,False,0,0.0
U100023,2025-08-25,0,1,used_booster_then_quit,15,False,3,10.41
U100024,2025-08-04,43,2,after_10_moves_no_progress,18,False,62,86.54
U100025,2025-07-16,69,3,failed_level_twice,19,False,17,15.39
U100026,2025-08-18,20,3,session_timeout,19,False,2,5.53
U100027,2025-08-07,31,6,used_booster_then_quit,16,False,20,24.55
U100028,2025-06-25,2,3,used_booster_then_quit,19,False,12,27.29
U100029,2025-08-23,77,2,failed_level_twice,17,False,19,21.68
U100030,2025-07-06,6,1,used_booster_then_quit,18,False,17,29.42
U100031,2025-08-12,63,3,used_booster_then_quit,22,False,16,22.39
U100032,2025-08-13,14,3,used_booster_then_quit,30,False,11,22.2
U100033,2025-08-19,45,4,used_booster_then_quit,17,False,9,15.22
U100034,2025-08-14,0,0,after_10_moves_no_progress,0,False,0,0.0
U100035,2025-08-06,32,4,ads_fatigue,16,False,10,6.55
U100036,2025-06-19,21,4,failed_level_twice,21,False,8,15.76
U100037,2025-08-15,4,0,used_booster_then_quit,0,False,0,0.0
U100038,2025-08-16,41,2,failed_level_twice,15,False,14,23.53
U100039,2025-07-02,38,2,failed_level_twice,10,False,13,17.49
U100040,2025-08-11,28,3,used_booster_then_quit,19,False,7,11.87
U100041,2025-08-10,59,3,used_booster_then_quit,16,False,9,18.43
U100042,2025-08-12,2,3,after_10_moves_no_progress,11,False,10,14.02
U100043,2025-06-27,3,1,failed_level_twice,21,False,12,15.53
U100044,2025-08-25,29,5,used_booster_then_quit,25,False,16,30.02
U100045,2025-07-06,55,1,session_timeout,23,True,5,9.36
U100046,2025-07-23,36,3,ads_fatigue,6,False,56,70.35
U100048,2025-08-11,5,0,after_10_moves_no_progress,24,False,11,10.42
U100049,2025-06-25,36,2,used_booster_then_quit,21,False,13,25.75
U100050,2025-08-11,69,1,failed_level_twice,20,False,22,37.22
U100051,2025-07-29,50,5,used_booster_then_quit,29,False,5,17.96
U100052,2025-08-06,19,3,used_booster_then_quit,17,False,22,30.93
U100053,2025-08-11,12,2,failed_level_twice,11,False,12,16.67
U100054,2025-07-31,2,2,used_booster_then_quit,7,False,9,14.85
U100055,2025-07-19,18,2,used_booster_then_quit,19,False,19,35.6
U100056,2025-08-19,13,1,other,18,False,15,15.73
U100057,2025-07-07,15,3,used_booster_then_quit,13,False,3,4.83
U100058,2025-07-05,51,0,used_booster_then_quit,0,False,0,0.0
U100059,2025-07-15,8,2,after_10_moves_no_progress,17,False,3,2.9
U100060,2025-08-23,0,1,used_booster_then_quit,27,False,15,17.47
U100061,2025-08-04,0,0,failed_level_twice,0,False,0,0.0
U100062,2025-08-06,28,0,used_booster_then_quit,0,False,0,0.0
U100063,2025-08-10,24,0,other,0,False,0,0.0
U100064,2025-08-23,3,1,after_10_moves_no_progress,21,False,13,20.54
U100065,2025-07-30,39,1,after_10_moves_no_progress,14,False,10,9.57
U100066,2025-07-06,27,3,used_booster_then_quit,24,False,26,50.92
U100067,2025-08-26,0,1,other,4,True,10,14.69
U100068,2025-08-12,0,0,other,0,False,0,0.0
U100069,2025-06-17,9,1,ads_fatigue,11,False,10,16.35
U100070,2025-07-31,36,0,after_10_moves_no_progress,24,False,8,17.19
U100071,2025-07-02,13,5,after_10_moves_no_progress,15,False,3,4.67
