user_id,date,day_since_install,active,time_spent_min,interstitial_impressions,rewarded_impressions,ad_revenue_usd,iap_revenue_usd
U100000,2025-07-18,0,1,23.43,6,1,0.068,0.0
U100000,2025-07-20,2,1,29.13,14,2,0.154,0.0
U100000,2025-07-26,8,1,7.87,2,0,0.018,0.0
U100000,2025-07-29,11,1,13.21,13,2,0.145,0.0
U100001,2025-05-10,0,1,16.2,11,4,0.155,0.0
U100001,2025-05-12,2,1,22.17,13,3,0.159,0.0
U100001,2025-06-20,41,1,12.69,9,2,0.109,0.0
U100001,2025-07-01,52,1,25.17,12,2,0.136,0.0
U100002,2025-05-30,0,1,17.15,9,2,0.144,0.0
U100002,2025-05-31,1,1,12.86,5,1,0.078,0.0
U100002,2025-06-01,2,1,17.14,9,0,0.108,0.0
U100002,2025-06-02,3,1,13.77,7,2,0.12,0.0
U100002,2025-06-04,5,1,14.69,2,1,0.042,0.0
U100002,2025-06-05,6,1,24.52,13,6,0.264,0.0
U100002,2025-06-07,8,1,23.09,10,7,0.246,0.0
U100002,2025-06-08,9,1,19.85,3,3,0.09,0.0
U100002,2025-06-29,30,1,9.02,2,1,0.042,0.0
U100002,2025-07-20,51,1,12.74,11,1,0.15,0.0
U100002,2025-07-24,55,1,7.81,3,1,0.054,0.0
U100002,2025-08-21,83,1,10.21,5,5,0.15,0.0
U100003,2025-08-01,0,1,26.02,13,7,0.282,0.0
U100003,2025-08-18,17,1,22.23,12,5,0.234,0.0
U100004,2025-07-11,8,1,8.87,2,2,0.046,0.0
U100004,2025-08-03,31,1,6.82,2,3,0.06,0.0
U100005,2025-08-20,0,1,11.21,2,3,0.078,0.0
U100005,2025-08-22,2,1,14.58,6,5,0.162,0.0
U100006,2025-06-21,0,1,21.5,10,1,0.104,0.0
U100006,2025-06-24,3,1,32.88,16,5,0.214,0.0
U100006,2025-06-26,5,1,17.68,11,4,0.155,0.0
U100006,2025-06-27,6,1,26.08,10,2,0.118,0.0
U100006,2025-07-16,25,1,14.51,12,4,0.164,0.0
U100006,2025-07-22,31,1,11.95,4,2,0.064,0.0
U100007,2025-08-13,0,1,15.86,9,8,0.193,0.0
U100007,2025-08-20,7,1,21.27,11,4,0.155,0.0
U100008,2025-06-23,0,1,11.51,4,2,0.084,0.0
U100008,2025-06-24,1,1,49.95,23,7,0.402,0.0
U100008,2025-06-26,3,1,6.37,4,1,0.066,1.7003453428456639
U100009,2025-08-26,0,1,39.26,18,13,0.45,0.0
U100010,2025-08-24,0,1,13.04,9,2,0.144,0.0
U100010,2025-08-25,1,1,24.07,7,5,0.174,0.0
U100011,2025-06-09,0,1,7.76,4,2,0.064,0.0
U100011,2025-06-28,19,1,5.0,3,0,0.027,0.0
U100011,2025-08-09,61,1,10.33,5,3,0.087,0.0
U100012,2025-08-15,0,1,24.88,13,7,0.282,0.0
U100012,2025-08-20,5,1,20.03,12,4,0.216,0.0
U100012,2025-08-23,8,1,17.47,2,5,0.114,0.0
U100013,2025-08-10,0,1,18.22,10,3,0.132,0.0
U100013,2025-08-11,1,1,14.75,5,5,0.115,0.0
U100013,2025-08-23,13,1,34.8,22,5,0.268,0.0
