user_id,install_date,country,state,os,device_model,channel,campaign,engagement_factor,base_time_spent_min
U100000,2025-07-18,US,VA,Android,Galaxy S22,Google UAC,GGL_UAC_iOS,0.6575,13.53
U100001,2025-05-10,US,PA,Android,Pixel 8,Snapchat,SNP_Story_Install,1.7895,19.65
U100002,2025-05-30,US,CA,iOS,iPhone SE 3,Apple Search Ads,ASA_Exact_Solitaire,1.2364,12.6
U100003,2025-08-01,US,AL,iOS,iPhone 15,Facebook,FB_Video_30s,0.5006,22.81
U100004,2025-07-03,US,CT,Android,Galaxy S23,Organic,ORG_Blog,0.6374,9.14
U100005,2025-08-20,US,IL,iOS,iPhone 14,Organic,ORG_NA,1.275,15.94
U100006,2025-06-21,US,MI,Android,Pixel 7,Organic,ORG_NA,1.3331,22.05
U100007,2025-08-13,US,PA,Android,Pixel 8,TikTok,TTK_SparkAds,0.5199,19.23
U100008,2025-06-23,US,FL,iOS,iPhone SE 3,Facebook,FB_Video_30s,1.1965,12.46
U100009,2025-08-26,US,CA,iOS,iPhone 13,Facebook,FB_Interest_Puzzle,1.006,25.99
U100010,2025-08-24,US,PA,iOS,iPhone SE 3,Organic,ORG_StoreSearch,0.4162,20.52
U100011,2025-06-09,US,MO,Android,Galaxy S22,Snapchat,SNP_Story_Install,0.7701,6.33
U100012,2025-08-15,US,CA,iOS,iPhone 15,Apple Search Ads,ASA_Discovery,0.8569,22.6
U100013,2025-08-10,US,NC,Android,Galaxy S22,Organic,ORG_Blog,0.9226,14.57
U100014,2025-05-26,US,MN,Android,Pixel 7,Organic,ORG_NA,0.5335,13.84
U100015,2025-07-14,US,TX,iOS,iPhone 15,Organic,ORG_NA,0.6668,11.89
U100016,2025-05-09,US,TX,Android,Pixel 7,Google UAC,GGL_UAC_Broad,0.7053,10.9
U100017,2025-08-09,US,TN,Android,Pixel 7,Facebook,FB_Interest_Puzzle,0.7303,19.96
U100018,2025-05-21,US,NY,Android,Pixel 8,Google UAC,GGL_UAC_Broad,0.7352,23.65
U100019,2025-05-09,US,TX,iOS,iPhone 14,Google UAC,GGL_UAC_iOS,0.8581,19.43
U100020,2025-06-18,US,FL,iOS,iPhone 15,Facebook,FB_Video_30s,1.0241,28.94
U100021,2025-07-09,US,IL,iOS,iPhone 13,Organic,ORG_NA,1.8399,24.07
U100022,2025-08-11,US,CO,iOS,iPhone 14,Google UAC,GGL_UAC_iOS,1.2819,6.6
U100023,2025-08-25,US,MI,iOS,iPhone 13,Google UAC,GGL_UAC_Broad,1.5323,11.38
U100024,2025-06-22,US,IL,Android,Galaxy S22,Google UAC,GGL_UAC_iOS,0.7465,32.61
U100025,2025-05-08,US,GA,iOS,iPhone 13,Apple Search Ads,ASA_Discovery,0.6056,9.54
U100026,2025-07-29,US,KY,Android,Pixel 7,Organic,ORG_StoreSearch,1.2468,4.59
U100027,2025-07-07,US,CA,Android,Galaxy S23,Google UAC,GGL_UAC_iOS,0.899,44.97
U100028,2025-06-23,US,TX,iOS,iPhone 15,Facebook,FB_LAL_Payers,1.2118,20.88
U100029,2025-06-07,US,OR,iOS,iPhone SE 3,Organic,ORG_NA,0.6358,12.79
U100030,2025-06-30,US,OR,Android,Pixel 7,Facebook,FB_LAL_Payers,1.1728,11.78
U100031,2025-06-10,US,TX,Android,Moto G Power,Organic,ORG_StoreSearch,0.8436,24.66
U100032,2025-07-30,US,TX,iOS,iPhone 13,Organic,ORG_Blog,0.7525,22.86
U100033,2025-07-05,US,IL,Android,Pixel 8,Snapchat,SNP_Story_Install,0.7814,21.2
U100034,2025-08-14,US,CA,iOS,iPhone 14,Snapchat,SNP_Story_Install,1.1009,16.38
U100035,2025-07-05,US,NJ,Android,Pixel 7,Apple Search Ads,ASA_Discovery,1.2333,9.49
U100036,2025-05-29,US,CA,iOS,iPhone SE 3,Google UAC,GGL_UAC_Retarget,0.7815,17.68
U100037,2025-08-11,US,CA,iOS,iPhone 15,Organic,ORG_Blog,1.0384,30.66
U100038,2025-07-06,US,OH,iOS,iPhone 15,Facebook,FB_LAL_Payers,1.037,13.73
U100039,2025-05-25,US,OR,Android,Pixel 7,Google UAC,GGL_UAC_Broad,1.2157,24.31
U100040,2025-07-14,US,IL,Android,Galaxy S22,Organic,ORG_NA,1.3428,14.7
U100041,2025-06-12,US,FL,iOS,iPhone 13,Google UAC,GGL_UAC_Retarget,1.8673,26.87
U100042,2025-08-10,US,UT,iOS,iPhone 13,Organic,ORG_NA,0.7512,11.03
U100043,2025-06-24,US,GA,iOS,iPhone 14,TikTok,TTK_SparkAds,1.6226,18.12
U100044,2025-07-27,US,FL,iOS,iPhone 15,Organic,ORG_Blog,0.9482,22.61
U100045,2025-05-12,US,FL,iOS,iPhone 15,Facebook,FB_Interest_Puzzle,0.584,12.84
U100046,2025-06-17,US,TX,iOS,iPhone 15,Google UAC,GGL_UAC_Retarget,0.6975,21.58
U100047,2025-08-26,US,OH,iOS,iPhone 15,Facebook,FB_LAL_Payers,1.0902,17.74
U100048,2025-08-06,US,PA,iOS,iPhone 14,Facebook,FB_Video_30s,1.2087,17.61
U100049,2025-05-20,US,NY,Android,Pixel 7,Organic,ORG_Blog,0.6026,12.83
U100050,2025-06-03,US,TX,Android,Galaxy S23,Snapchat,SNP_Story_Install,0.6666,29.64
U100051,2025-06-09,US,NY,Android,Moto G Power,Apple Search Ads,ASA_Discovery,0.7311,11.22
U100052,2025-07-18,US,OH,Android,Pixel 8,Snapchat,SNP_CPI_Optimized,0.6406,20.7
U100053,2025-07-30,US,CA,iOS,iPhone 13,TikTok,TTK_SparkAds,0.4265,11.77
U100054,2025-07-29,US,TX,iOS,iPhone 13,Facebook,FB_LAL_Payers,0.3724,17.41
U100055,2025-07-01,US,KY,Android,Galaxy S23,Snapchat,SNP_Story_Install,0.7767,24.82
U100056,2025-08-06,US,GA,Android,Moto G Power,Organic,ORG_StoreSearch,1.0008,15.58
U100057,2025-06-22,US,CA,iOS,iPhone 13,Organic,ORG_Blog,1.1761,3.87
U100058,2025-05-15,US,WA,iOS,iPhone 13,Organic,ORG_StoreSearch,0.5247,9.19
U100059,2025-07-07,US,CA,Android,Moto G Power,Google UAC,GGL_UAC_iOS,0.5283,6.12
U100060,2025-08-23,US,AZ,Android,Galaxy S23,Google UAC,GGL_UAC_Retarget,0.7326,18.62
U100061,2025-08-04,US,MA,Android,Galaxy S23,Organic,ORG_StoreSearch,0.906,17.95
U100062,2025-07-09,US,NJ,Android,Pixel 8,Apple Search Ads,ASA_Exact_Solitaire,1.3546,15.11
U100063,2025-07-17,US,AZ,iOS,iPhone 13,Google UAC,GGL_UAC_iOS,1.2057,13.16
U100064,2025-08-20,US,CA,iOS,iPhone 13,Google UAC,GGL_UAC_Broad,0.781,20.1
U100065,2025-06-21,US,AZ,Android,Moto G Power,Facebook,FB_Interest_Puzzle,1.045,8.73
U100066,2025-06-09,US,CA,iOS,iPhone 15,Organic,ORG_StoreSearch,0.6457,29.03
U100067,2025-08-26,US,FL,iOS,iPhone 15,Apple Search Ads,ASA_Exact_Solitaire,0.9321,18.69
U100068,2025-08-12,US,KY,Android,Pixel 8,Organic,ORG_Blog,0.8825,11.22
U100069,2025-06-08,US,OH,iOS,iPhone 14,CrossPromo,XPR_PartnerA,1.5868,14.6
U100070,2025-06-25,US,OK,iOS,iPhone 14,Apple Search Ads,ASA_Exact_Solitaire,1.1023,16.86
U100071,2025-06-19,US,CA,iOS,iPhone 13,Organic,ORG_NA,0.6648,9.02
U100072,2025-05-18,US,PA,Android,Galaxy S23,Organic,ORG_Blog,0.6675,25.17
U100073,2025-08-23,US,CA,Android,Galaxy S23,Apple Search Ads,ASA_Broad_Card,0.792,29.17
U100074,2025-06-18,US,MI,iOS,iPhone SE 3,Facebook,FB_LAL_Payers,0.4839,19.09
U100075,2025-08-14,US,CA,iOS,iPhone 15,Apple Search Ads,ASA_Discovery,0.8253,28.81
U100076,2025-05-23,US,TX,iOS,iPhone 15,Apple Search Ads,ASA_Broad_Card,0.8543,67.72
U100077,2025-07-05,US,NY,iOS,iPhone 15,Organic,ORG_NA,1.0905,7.04
U100078,2025-05-03,US,MA,iOS,iPhone SE 3,Google UAC,GGL_UAC_Retarget,1.1559,18.47
U100079,2025-07-31,US,TX,iOS,iPhone 13,Organic,ORG_Blog,0.9414,9.2
U100080,2025-07-09,US,WI,Android,Pixel 8,TikTok,TTK_SparkAds,0.4714,39.28
U100081,2025-07-15,US,CA,Android,Galaxy S22,Facebook,FB_Video_30s,0.5552,20.36
U100082,2025-05-07,US,CA,iOS,iPhone SE 3,Google UAC,GGL_UAC_Retarget,0.7103,12.7
U100083,2025-05-26,US,IL,iOS,iPhone SE 3,Organic,ORG_StoreSearch,1.1746,15.8
U100084,2025-05-09,US,CT,iOS,iPhone 13,Google UAC,GGL_UAC_iOS,1.1588,35.11
U100085,2025-06-04,US,CA,Android,Galaxy S23,Google UAC,GGL_UAC_iOS,0.8189,22.57
U100086,2025-07-15,US,CA,iOS,iPhone 15,Apple Search Ads,ASA_Exact_Solitaire,2.3254,24.04
U100087,2025-07-07,US,MA,iOS,iPhone 14,Facebook,FB_Video_30s,1.6898,37.88
U100088,2025-07-13,US,NY,iOS,iPhone 15,TikTok,TTK_SparkAds,1.4858,29.01
U100089,2025-07-05,US,AZ,Android,Galaxy S22,Google UAC,GGL_UAC_iOS,1.1975,31.58
U100090,2025-06-02,US,TX,Android,Moto G Power,Organic,ORG_StoreSearch,1.087,16.9
U100091,2025-05-30,US,PA,Android,Galaxy S22,Facebook,FB_Interest_Puzzle,1.0557,5.83
U100092,2025-05-17,US,NY,iOS,iPhone 14,Apple Search Ads,ASA_Exact_Solitaire,0.4395,18.96
U100093,2025-08-10,US,PA,iOS,iPhone SE 3,Facebook,FB_LAL_Payers,0.5942,12.91
U100094,2025-07-13,US,TN,iOS,iPhone SE 3,Apple Search Ads,ASA_Broad_Card,0.8279,26.7
U100095,2025-05-23,US,MA,Android,Moto G Power,Google UAC,GGL_UAC_Retarget,0.9523,7.43
U100096,2025-05-22,US,OH,iOS,iPhone 13,Facebook,FB_Video_30s,0.8609,27.23
U100097,2025-08-13,US,LA,iOS,iPhone 14,Google UAC,GGL_UAC_iOS,1.009,19.78
U100098,2025-07-29,US,NY,iOS,iPhone SE 3,Organic,ORG_StoreSearch,0.3901,21.48
U100099,2025-07-19,US,TX,Android,Moto G Power,Organic,ORG_NA,1.1077,24.53
U100100,2025-06-18,US,MI,iOS,iPhone SE 3,Organic,ORG_StoreSearch,0.9276,17.75
U100101,2025-06-01,US,MI,iOS,iPhone SE 3,Facebook,FB_LAL_Payers,0.8395,15.24
U100102,2025-08-26,US,CA,Android,Pixel 8,Google UAC,GGL_UAC_Broad,1.3112,31.75
U100103,2025-08-04,US,MI,iOS,iPhone 15,Google UAC,GGL_UAC_Broad,0.5956,24.21
U100104,2025-06-06,US,FL,iOS,iPhone 14,TikTok,TTK_SparkAds,0.823,25.4
U100105,2025-08-10,US,MA,iOS,iPhone 14,Organic,ORG_Blog,1.0139,17.27
U100106,2025-07-31,US,MO,Android,Galaxy S22,Google UAC,GGL_UAC_Retarget,0.6433,19.01
U100107,2025-06-05,US,GA,iOS,iPhone 14,Apple Search Ads,ASA_Broad_Card,0.406,17.88
U100108,2025-06-21,US,CA,iOS,iPhone 14,Organic,ORG_NA,0.5705,7.53
U100109,2025-05-23,US,NJ,Android,Moto G Power,Organic,ORG_NA,0.8817,9.02
U100110,2025-05-14,US,MA,iOS,iPhone 13,Google UAC,GGL_UAC_iOS,0.8191,16.92
U100111,2025-07-26,US,NY,Android,Moto G Power,Organic,ORG_StoreSearch,0.8983,7.04
U100112,2025-06-02,US,PA,Android,Pixel 8,Snapchat,SNP_CPI_Optimized,0.6951,17.04
U100113,2025-08-07,US,OR,Android,Moto G Power,Apple Search Ads,ASA_Exact_Solitaire,0.5353,11.51
U100114,2025-08-28,US,NY,iOS,iPhone 15,Facebook,FB_Video_30s,0.9558,17.33
U100115,2025-05-10,US,TX,Android,Pixel 7,TikTok,TTK_UGC_Puzzle,0.8465,19.6
U100116,2025-06-26,US,TX,Android,Galaxy S23,Apple Search Ads,ASA_Broad_Card,1.1678,7.11
U100117,2025-08-05,US,GA,Android,Pixel 7,Organic,ORG_StoreSearch,0.6709,21.18
U100118,2025-08-03,US,KY,iOS,iPhone 15,TikTok,TTK_UGC_Puzzle,0.4032,14.38
U100119,2025-07-31,US,MI,Android,Moto G Power,Facebook,FB_Interest_Puzzle,0.3192,5.63
U100120,2025-06-11,US,NY,iOS,iPhone 13,Apple Search Ads,ASA_Broad_Card,0.7706,14.3
U100121,2025-06-24,US,NJ,iOS,iPhone 14,TikTok,TTK_SparkAds,0.9523,21.76
U100122,2025-07-11,US,MI,Android,Galaxy S23,Google UAC,GGL_UAC_Broad,0.8245,14.7
U100123,2025-08-25,US,NC,Android,Galaxy S22,Organic,ORG_StoreSearch,0.7218,14.25
U100124,2025-06-09,US,TX,iOS,iPhone 14,Organic,ORG_StoreSearch,0.4788,19.44
U100125,2025-08-19,US,NJ,Android,Pixel 7,Google UAC,GGL_UAC_iOS,0.425,14.16
U100126,2025-06-02,US,IL,iOS,iPhone 13,Apple Search Ads,ASA_Broad_Card,1.048,15.75
U100127,2025-08-27,US,CA,iOS,iPhone 14,TikTok,TTK_UGC_Puzzle,0.8261,9.27
