user_id,date,level,event,moves,booster_used,success
U100000,2025-07-18,1,start,0,False,
U100000,2025-07-18,1,complete,26,False,True
U100000,2025-07-20,2,start,0,False,
U100000,2025-07-20,2,complete,13,False,True
U100000,2025-07-26,3,start,0,False,
U100000,2025-07-26,3,complete,15,True,True
U100000,2025-07-26,4,start,0,False,
U100000,2025-07-26,4,complete,19,False,True
U100000,2025-07-29,5,start,0,False,
U100000,2025-07-29,5,complete,12,True,True
U100000,2025-07-29,6,start,0,False,
U100000,2025-07-29,6,complete,12,False,True
U100002,2025-06-01,1,start,0,False,
U100002,2025-06-01,1,complete,17,False,True
U100002,2025-06-02,2,start,0,False,
U100002,2025-06-02,2,complete,23,False,True
U100002,2025-06-04,3,start,0,False,
U100002,2025-06-04,3,fail,18,False,False
U100002,2025-06-04,3,start,0,False,
U100002,2025-06-04,3,complete,13,False,True
U100002,2025-06-05,4,start,0,False,
U100002,2025-06-05,4,complete,10,False,True
U100002,2025-06-05,5,start,0,False,
U100002,2025-06-05,5,complete,16,True,True
U100002,2025-06-29,6,start,0,False,
U100002,2025-06-29,6,fail,25,False,False
U100002,2025-07-20,6,start,0,False,
U100002,2025-07-20,6,complete,22,False,True
U100003,2025-08-01,1,start,0,False,
U100003,2025-08-01,1,fail,16,False,False
U100004,2025-07-11,1,start,0,False,
U100004,2025-07-11,1,fail,28,False,False
U100004,2025-07-11,1,retry,19,False,True
U100005,2025-08-22,1,start,0,False,
U100005,2025-08-22,1,complete,15,False,True
U100006,2025-06-21,1,start,0,False,
U100006,2025-06-21,1,complete,27,False,True
U100006,2025-06-26,2,start,0,False,
U100006,2025-06-26,2,complete,22,False,True
U100006,2025-06-26,3,start,0,False,
U100006,2025-06-26,3,complete,20,False,True
U100006,2025-06-27,4,start,0,False,
U100006,2025-06-27,4,complete,12,False,True
U100006,2025-07-22,5,start,0,False,
U100006,2025-07-22,5,complete,22,False,True
U100007,2025-08-20,1,start,0,False,
U100007,2025-08-20,1,complete,23,False,True
U100008,2025-06-23,1,start,0,False,
U100008,2025-06-23,1,complete,18,False,True
U100008,2025-06-24,2,start,0,False,
U100008,2025-06-24,2,complete,21,False,True
U100009,2025-08-26,1,start,0,False,
U100009,2025-08-26,1,complete,13,False,True
U100010,2025-08-24,1,start,0,False,
